Plate,Platform,Time In,Time Out,From,To
MH35JH3664,1,14:14:02,14:14:19,UNKNOWN,UNKNOWN
MH35JH3661,1,14:15:26,14:15:44,Parbhani,Nanded
HH35JH3661,1,14:15:49,14:16:05,UNKNOWN,UNKNOWN
MH35JH3661,1,14:16:34,14:16:50,Parbhani,Nanded
MH17Q2221,1,14:23:23,14:23:40,UNKNOWN,UNKNOWN
HH35JH3661,1,14:24:17,14:24:33,UNKNOWN,UNKNOWN
